,Episode,Training_Accuracy,Validation_Accuracy
910,,0.4482758620689655,0.45454545454545453
911,,0.0,0.75
912,,0.0,0.045454545454545456
913,,0.84,0.0
914,,0.0,0.0
915,,0.0,0.0
916,,0.0,0.0
917,,0.0,0.0
918,,0.0,0.0
919,,0.0,0.0
920,,0.0,0.42857142857142855
921,,0.0,0.75
922,,0.25,0.0
923,,0.0,0.0
924,,0.0,0.7142857142857143
925,,0.0,0.7272727272727273
926,,0.6153846153846154,0.0
927,,0.0,0.9512195121951219
928,,0.02040816326530612,0.4117647058823529
929,,0.5555555555555556,0.0
930,,0.03333333333333333,0.0
931,,0.0,0.2857142857142857
932,,0.7,0.0
933,,0.0,0.0
934,,0.0,0.0
935,,0.0,0.0
936,,0.0,0.0
937,,0.0,0.29411764705882354
938,,0.0,0.5714285714285714
939,,0.0,0.0
940,,0.0,0.0
941,,0.0,0.0
942,,0.0,0.0
943,,0.0,0.17647058823529413
944,,0.0625,0.0
945,,0.7966101694915254,0.30434782608695654
946,,0.0,0.0
947,,0.0,0.0
948,,0.0,0.0
949,,0.0,0.3
950,,0.3333333333333333,0.0
951,,0.0,0.45714285714285713
952,,0.0,0.0
953,,0.0,0.0
954,,0.0,0.0
955,,0.0,0.0
956,,0.5238095238095238,0.0
957,,0.1,0.0
958,,0.2857142857142857,0.0
959,,0.0,0.8695652173913043
960,,0.0,0.35294117647058826
961,,0.0,0.0
962,,0.0,0.0
963,,0.0,0.0
964,,0.5,0.0
965,,0.29411764705882354,0.3783783783783784
966,,0.0,0.0
967,,0.0,0.0
968,,0.058823529411764705,0.0
969,,0.0,0.1875
970,,0.4,0.0
971,,0.0,0.15384615384615385
972,,0.3728813559322034,0.1875
973,,0.0,0.0
974,,0.0,0.0
975,,0.0,0.0
976,,0.0,0.0
977,,0.0,0.16
978,,0.0,0.0
979,,0.8076923076923077,0.0
980,,0.0,0.0
981,,0.0,0.5789473684210527
982,,0.3,0.13714285714286234
983,,0.14285714285714285,0.0
984,,0.0,0.0
985,,0.0,0.0
986,,0.0,0.0
987,,0.0,0.0
988,,0.5769230769230769,0.0
989,,0.475,0.0
990,,0.0,0.0
991,,0.0,0.35714285714285715
992,,0.058823529411764705,0.3103448275862069
993,,0.0,0.0
